c_w,c_r
1.01,5.25
1.02,4.50
1.03,4.07
1.04,3.78
1.05,3.56
1.06,3.39
1.07,3.24
1.08,3.12
1.09,3.02
1.10,2.93
1.11,2.84
1.12,2.77
1.13,2.71
1.14,2.65
1.15,2.59
1.16,2.54
1.17,2.49
1.18,2.45
1.19,2.41
1.20,2.37
1.21,2.34
1.22,2.31
1.23,2.28
1.24,2.25
1.25,2.22
1.26,2.19
1.27,2.17
1.28,2.14
1.29,2.12
1.30,2.10
1.31,2.08
1.32,2.06
1.33,2.04
1.34,2.02
1.35,2.01
1.36,1.99
1.37,1.97
1.38,1.96
1.39,1.94
1.40,1.93
1.41,1.91
1.42,1.90
1.43,1.89
1.44,1.88
1.45,1.86
1.46,1.85
1.47,1.84
1.48,1.83
1.49,1.82
1.50,1.81
1.51,1.80
1.52,1.79
1.53,1.78
1.54,1.77
1.55,1.76
1.56,1.75
1.57,1.75
1.58,1.74
1.59,1.73
1.60,1.72
1.61,1.71
1.62,1.71
1.63,1.70
1.64,1.69
1.65,1.69
1.66,1.68
1.67,1.67
1.68,1.67
1.69,1.66
1.70,1.65
1.71,1.65
1.72,1.64
1.73,1.64
1.74,1.63
1.75,1.62
1.76,1.62
1.77,1.61
1.78,1.61
1.79,1.60
1.80,1.60
1.81,1.59
1.82,1.59
1.83,1.58
1.84,1.58
1.85,1.58
1.86,1.57
1.87,1.57
1.88,1.56
1.89,1.56
1.90,1.55
1.91,1.55
1.92,1.55
1.93,1.54
1.94,1.54
1.95,1.54
1.96,1.53
1.97,1.53
1.98,1.52
1.99,1.52
2.00,1.52
