c_w,c_r
1.01,4.66
1.02,4.01
1.03,3.64
1.04,3.39
1.05,3.20
1.06,3.04
1.07,2.92
1.08,2.81
1.09,2.72
1.10,2.64
1.11,2.57
1.12,2.50
1.13,2.44
1.14,2.39
1.15,2.34
1.16,2.30
1.17,2.26
1.18,2.22
1.19,2.18
1.20,2.15
1.21,2.12
1.22,2.09
1.23,2.06
1.24,2.04
1.25,2.01
1.26,1.99
1.27,1.97
1.28,1.95
1.29,1.93
1.30,1.91
1.31,1.89
1.32,1.87
1.33,1.85
1.34,1.84
1.35,1.82
1.36,1.81
1.37,1.79
1.38,1.78
1.39,1.77
1.40,1.75
1.41,1.74
1.42,1.73
1.43,1.72
1.44,1.71
1.45,1.70
1.46,1.69
1.47,1.68
1.48,1.67
1.49,1.66
1.50,1.65
1.51,1.64
1.52,1.63
1.53,1.62
1.54,1.61
1.55,1.61
1.56,1.60
1.57,1.59
1.58,1.58
1.59,1.58
1.60,1.57
1.61,1.56
1.62,1.56
1.63,1.55
1.64,1.54
1.65,1.54
1.66,1.53
1.67,1.53
1.68,1.52
1.69,1.51
1.70,1.51
1.71,1.50
1.72,1.50
1.73,1.49
1.74,1.49
1.75,1.48
1.76,1.48
1.77,1.47
1.78,1.47
1.79,1.46
1.80,1.46
1.81,1.46
1.82,1.45
1.83,1.45
1.84,1.44
1.85,1.44
1.86,1.43
1.87,1.43
1.88,1.43
1.89,1.42
1.90,1.42
1.91,1.42
1.92,1.41
1.93,1.41
1.94,1.41
1.95,1.40
1.96,1.40
1.97,1.40
1.98,1.39
1.99,1.39
2.00,1.39
